Percentile,1.5,2,3
0,2.949002217,3.481152993,5.210643016
25,-1.973392461,-3.303769401,-6.363636364
50,-6.496674058,-10.62084257,-20.33259424
75,-10.22172949,-15.67627494,-27.64966741
100,-22.06208426,-32.70509978,-48.80266075
